Rank,Name,Year,Duration (min),Age Rating,Rating,Votes
1,The Shawshank Redemption,1994,142,R,9.3,3M
2,The Godfather,1972,175,R,9.2,2.1M
3,The Dark Knight,2008,152,PG-13,9.0,3M
4,The Godfather Part II,1974,202,R,9.0,1.4M
5,12 Angry Men,1957,96,Approved,9.0,914K
6,The Lord of the Rings: The Return of the King,2003,201,PG-13,9.0,2.1M
7,Schindler's List,1993,195,R,9.0,1.5M
8,Pulp Fiction,1994,154,R,8.9,2.3M
9,The Lord of the Rings: The Fellowship of the Ring,2001,178,PG-13,8.9,2.1M
10,"The Good, the Bad and the Ugly",1966,178,R,8.8,845K
11,Forrest Gump,1994,142,PG-13,8.8,2.4M
12,The Lord of the Rings: The Two Towers,2002,179,PG-13,8.8,1.9M
13,Fight Club,1999,139,R,8.8,2.4M
14,Inception,2010,148,PG-13,8.8,2.7M
15,Star Wars: Episode V - The Empire Strikes Back,1980,124,PG,8.7,1.4M
16,The Matrix,1999,136,R,8.7,2.1M
17,Goodfellas,1990,145,R,8.7,1.3M
18,One Flew Over the Cuckoo's Nest,1975,133,R,8.7,1.1M
19,Interstellar,2014,169,PG-13,8.7,2.3M
20,Se7en,1995,127,R,8.6,1.9M
21,It's a Wonderful Life,1946,130,PG,8.6,524K
22,Seven Samurai,1954,207,Not Rated,8.6,381K
23,The Silence of the Lambs,1991,118,R,8.6,1.6M
24,Saving Private Ryan,1998,169,R,8.6,1.6M
25,City of God,2002,130,R,8.6,831K
26,The Green Mile,1999,189,R,8.6,1.5M
27,Life Is Beautiful,1997,116,PG-13,8.6,771K
28,Terminator 2: Judgment Day,1991,137,R,8.6,1.2M
29,Star Wars: Episode IV - A New Hope,1977,121,PG,8.6,1.5M
30,Back to the Future,1985,116,PG,8.5,1.4M
31,Spirited Away,2001,124,PG,8.6,898K
32,The Pianist,2002,150,R,8.5,958K
33,Gladiator,2000,155,R,8.5,1.7M
34,Parasite,2019,132,R,8.5,1M
35,Psycho,1960,109,R,8.5,747K
36,The Lion King,1994,88,G,8.5,1.2M
37,Grave of the Fireflies,1988,88,Not Rated,8.5,341K
38,The Departed,2006,151,R,8.5,1.5M
39,Whiplash,2014,106,R,8.5,1.1M
40,Harakiri,1962,133,Not Rated,8.6,78K
41,American History X,1998,119,R,8.5,1.2M
42,The Prestige,2006,130,PG-13,8.5,1.5M
43,Léon: The Professional,1994,110,R,8.5,1.3M
44,Spider-Man: Across the Spider-Verse,2023,140,PG,8.5,440K
45,Casablanca,1942,102,PG,8.5,627K
46,The Usual Suspects,1995,106,R,8.5,1.2M
47,The Intouchables,2011,112,R,8.5,969K
48,Cinema Paradiso,1988,174,PG,8.5,298K
49,Modern Times,1936,87,G,8.5,271K
50,Alien,1979,117,R,8.5,1M
51,Rear Window,1954,112,PG,8.5,542K
52,Once Upon a Time in the West,1968,166,PG-13,8.5,365K
53,Django Unchained,2012,165,R,8.5,1.8M
54,City Lights,1931,87,G,8.5,205K
55,Apocalypse Now,1979,147,R,8.4,736K
56,Dune: Part Two,2024,166,PG-13,8.5,606K
57,Memento,2000,113,R,8.4,1.4M
58,WALL·E,2008,98,G,8.4,1.2M
59,Raiders of the Lost Ark,1981,115,PG,8.4,1.1M
60,The Lives of Others,2006,137,R,8.4,425K
61,Avengers: Infinity War,2018,149,PG-13,8.4,1.3M
62,Sunset Boulevard,1950,110,Approved,8.4,247K
63,Spider-Man: Into the Spider-Verse,2018,117,PG,8.4,719K
64,Paths of Glory,1957,88,Approved,8.4,224K
65,Witness for the Prosecution,1957,116,Approved,8.4,148K
66,The Shining,1980,146,R,8.4,1.2M
67,The Great Dictator,1940,125,G,8.4,247K
68,12th Fail,N/A,N/A,N/A,8.8,144K
69,Aliens,1986,137,R,8.4,803K
70,Inglourious Basterds,2009,153,R,8.4,1.7M
71,The Dark Knight Rises,2012,164,PG-13,8.4,1.9M
72,Coco,2017,105,PG,8.4,639K
73,Amadeus,1984,160,PG,8.4,445K
74,Toy Story,1995,81,G,8.3,1.1M
75,Avengers: Endgame,2019,181,PG-13,8.4,1.3M
76,Oldboy,2003,120,R,8.3,671K
77,Good Will Hunting,1997,126,R,8.3,1.1M
78,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,95,PG,8.3,535K
79,American Beauty,1999,122,R,8.3,1.2M
80,Das Boot,N/A,N/A,N/A,8.4,277K
81,Braveheart,1995,178,R,8.3,1.1M
82,Princess Mononoke,1997,133,PG-13,8.3,455K
83,Your Name.,N/A,N/A,N/A,8.4,349K
84,High and Low,1963,143,Not Rated,8.4,59K
85,3 Idiots,2009,170,PG-13,8.4,454K
86,Joker,2019,122,R,8.3,1.6M
87,Once Upon a Time in America,1984,229,R,8.3,392K
88,Capernaum,2018,126,R,8.4,114K
89,Singin' in the Rain,1952,103,G,8.3,270K
90,Come and See,1985,142,Not Rated,8.3,109K
91,Requiem for a Dream,2000,102,NC-17,8.3,932K
92,Toy Story 3,2010,103,G,8.3,924K
93,Star Wars: Episode VI - Return of the Jedi,1983,131,PG,8.3,1.2M
94,The Hunt,2012,115,R,8.3,384K
95,Eternal Sunshine of the Spotless Mind,2004,108,R,8.3,1.1M
96,Ikiru,1952,143,Not Rated,8.3,95K
97,2001: A Space Odyssey,1968,149,G,8.3,747K
98,Reservoir Dogs,1992,99,R,8.3,1.1M
99,The Apartment,1960,125,Approved,8.3,207K
100,Incendies,2010,131,R,8.3,223K
101,Lawrence of Arabia,1962,227,PG,8.3,327K
102,Scarface,1983,170,R,8.3,955K
103,Double Indemnity,1944,107,Approved,8.3,174K
104,North by Northwest,1959,136,Approved,8.3,358K
105,Heat,1995,170,R,8.3,748K
106,Citizen Kane,1941,119,PG,8.3,478K
107,M,1931,99,Passed,8.3,176K
108,Up,2009,96,PG,8.3,1.2M
109,Full Metal Jacket,1987,116,R,8.2,816K
110,Vertigo,1958,128,PG,8.3,442K
111,Amélie,2001,122,R,8.3,814K
112,A Clockwork Orange,1971,136,R,8.2,906K
113,Oppenheimer,2023,180,R,8.3,860K
114,To Kill a Mockingbird,1962,129,Approved,8.3,341K
115,A Separation,2011,123,PG-13,8.3,267K
116,Die Hard,1988,132,R,8.2,984K
117,The Sting,1973,129,PG,8.3,288K
118,Like Stars on Earth,2007,162,PG,8.3,216K
119,Indiana Jones and the Last Crusade,1989,127,PG-13,8.2,833K
120,Metropolis,1927,153,Not Rated,8.3,193K
121,Snatch,2000,102,R,8.2,939K
122,1917,2019,119,R,8.2,719K
123,L.A. Confidential,1997,138,R,8.2,637K
124,Bicycle Thieves,1948,89,Not Rated,8.2,184K
125,Downfall,2004,156,R,8.2,386K
126,Dangal,2016,161,Not Rated,8.3,223K
127,Taxi Driver,1976,114,R,8.2,969K
128,Hamilton,2020,160,PG-13,8.3,125K
129,The Wolf of Wall Street,2013,180,R,8.2,1.7M
130,Batman Begins,2005,140,PG-13,8.2,1.6M
131,Green Book,2018,130,PG-13,8.2,625K
132,For a Few Dollars More,1965,132,R,8.2,286K
133,I'm Still Here,2024,137,PG-13,8.6,86K
134,Some Like It Hot,1959,121,Approved,8.2,293K
135,The Truman Show,1998,103,PG,8.2,1.3M
136,Judgment at Nuremberg,1961,179,Approved,8.3,90K
137,The Kid,1921,68,Passed,8.2,140K
138,Shutter Island,2010,138,R,8.2,1.5M
139,The Father,2020,97,PG-13,8.2,209K
140,All About Eve,1950,138,Approved,8.2,143K
141,There Will Be Blood,2007,158,R,8.2,665K
142,Jurassic Park,1993,127,PG-13,8.2,1.1M
143,Casino,1995,178,R,8.2,587K
144,The Sixth Sense,1999,107,PG-13,8.2,1.1M
